,date,open,high,low,close,adjcp,volume,tic,day
52586,2019-03-20,52.75,53.5,49.5,49.79999923706055,41.921730041503906,2350800,DOW,2
52616,2019-03-21,49.9900016784668,50.0,48.20000076293945,48.97999954223633,41.23145294189453,1764700,DOW,3
52646,2019-03-22,48.79999923706055,49.95000076293945,48.15999984741211,48.599998474121094,40.91156768798828,844700,DOW,4
52676,2019-03-25,48.599998474121094,49.400001525878906,48.0,49.150001525878906,41.37456130981445,440900,DOW,0
52706,2019-03-26,49.0,49.75,48.18000030517578,48.849998474121094,41.122013092041016,504700,DOW,1
52736,2019-03-27,49.0,50.779998779296875,49.0,50.099998474121094,42.17428207397461,1788600,DOW,2
52766,2019-03-28,50.900001525878906,51.0,49.915000915527344,50.849998474121094,42.80562210083008,585400,DOW,3
52796,2019-03-29,49.52000045776367,52.47999954223633,49.18000030517578,51.630001068115234,43.46223068237305,1769000,DOW,4
52826,2019-04-01,52.29999923706055,54.38999938964844,51.25,53.5,45.03639602661133,19663400,DOW,0
52856,2019-04-02,55.119998931884766,57.38999938964844,54.29999923706055,56.25,47.35135269165039,17414200,DOW,1
52886,2019-04-03,57.08000183105469,57.20000076293945,55.5099983215332,56.880001068115234,47.88169479370117,15066200,DOW,2
52916,2019-04-04,57.20000076293945,60.52000045776367,57.099998474121094,59.709999084472656,50.26398849487305,13309200,DOW,3
52946,2019-04-05,58.38999938964844,58.97999954223633,56.27000045776367,57.2400016784668,48.18474197387695,17000800,DOW,4
52976,2019-04-08,56.5,58.38999938964844,56.27000045776367,57.150001525878906,48.108978271484375,10764600,DOW,0
53006,2019-04-09,56.79999923706055,57.20000076293945,56.08000183105469,56.27000045776367,47.368186950683594,9179900,DOW,1
53036,2019-04-10,55.9900016784668,56.40999984741211,55.099998474121094,55.709999084472656,46.89677429199219,9081900,DOW,2
53066,2019-04-11,55.70000076293945,56.209999084472656,54.83000183105469,54.88999938964844,46.206504821777344,7346100,DOW,3
53096,2019-04-12,55.93000030517578,58.33000183105469,55.93000030517578,58.29999923706055,49.07704162597656,9281700,DOW,4
53126,2019-04-15,58.56999969482422,58.849998474121094,57.290000915527344,57.779998779296875,48.63931655883789,5727300,DOW,0
53156,2019-04-16,58.709999084472656,58.9900016784668,57.84000015258789,58.5,49.24541473388672,6681600,DOW,1
53186,2019-04-17,58.95000076293945,59.04999923706055,58.20000076293945,58.31999969482422,49.0938835144043,6420700,DOW,2
53216,2019-04-18,58.36000061035156,58.61000061035156,57.54999923706055,57.77000045776367,48.63089370727539,5178800,DOW,3
53246,2019-04-22,57.47999954223633,58.40999984741211,57.2599983215332,57.88999938964844,48.731910705566406,4401700,DOW,0
53276,2019-04-23,57.290000915527344,57.84000015258789,57.0,57.63999938964844,48.52145004272461,5687200,DOW,1
53306,2019-04-24,57.4900016784668,57.88999938964844,55.8650016784668,55.97999954223633,47.12406539916992,5431300,DOW,2
53336,2019-04-25,55.7599983215332,55.97999954223633,54.81999969482422,55.33000183105469,46.5768928527832,6260500,DOW,3
53366,2019-04-26,55.29999923706055,55.599998474121094,54.95000076293945,55.25,46.509552001953125,4009800,DOW,4
53396,2019-04-29,55.04999923706055,55.685001373291016,54.79999923706055,55.5,46.72000503540039,5935200,DOW,0
53426,2019-04-30,55.7599983215332,57.20500183105469,55.599998474121094,56.72999954223633,47.75541687011719,6454100,DOW,1
53456,2019-05-01,56.81999969482422,57.47999954223633,55.880001068115234,56.130001068115234,47.250343322753906,7644400,DOW,2
53486,2019-05-02,55.540000915527344,56.4900016784668,52.029998779296875,52.70000076293945,44.36296081542969,13932700,DOW,3
53516,2019-05-03,53.20000076293945,53.349998474121094,51.720001220703125,53.29999923706055,44.86803436279297,7401700,DOW,4
53546,2019-05-06,52.150001525878906,54.029998779296875,51.70000076293945,53.459999084472656,45.00273513793945,6089500,DOW,0
53576,2019-05-07,52.86000061035156,53.32500076293945,52.650001525878906,52.95000076293945,44.57340621948242,7330800,DOW,1
53606,2019-05-08,53.33000183105469,53.39500045776367,52.310001373291016,52.47999954223633,44.177757263183594,5390700,DOW,2
53636,2019-05-09,52.2599983215332,53.13999938964844,51.54999923706055,52.93000030517578,44.55657196044922,4579700,DOW,3
53666,2019-05-10,52.939998626708984,53.7140007019043,52.4900016784668,53.06999969482422,44.67442321777344,4758100,DOW,4
53696,2019-05-13,52.279998779296875,52.54999923706055,50.7599983215332,50.95000076293945,42.889808654785156,4213100,DOW,0
53726,2019-05-14,51.33000183105469,53.0,50.84000015258789,52.47999954223633,44.177757263183594,4204500,DOW,1
53756,2019-05-15,51.97999954223633,53.32500076293945,51.66999816894531,52.95000076293945,44.57340621948242,2928700,DOW,2
53786,2019-05-16,53.290000915527344,53.54999923706055,52.72999954223633,52.97999954223633,44.59865951538086,3689700,DOW,3
53816,2019-05-17,52.34000015258789,52.52000045776367,50.65999984741211,50.79999923706055,42.76353454589844,4440800,DOW,4
53846,2019-05-20,50.400001525878906,50.540000915527344,49.91999816894531,50.08000183105469,42.15743637084961,5168400,DOW,0
53876,2019-05-21,50.279998779296875,51.189998626708984,50.02000045776367,50.630001068115234,42.620426177978516,4968400,DOW,1
53906,2019-05-22,50.459999084472656,50.61000061035156,49.96500015258789,50.209999084472656,42.26687240600586,3019100,DOW,2
53936,2019-05-23,49.5,49.86000061035156,48.209999084472656,48.709999084472656,41.00416946411133,4919200,DOW,3
53966,2019-05-24,49.38999938964844,49.57500076293945,48.439998626708984,49.20000076293945,41.416648864746094,2918900,DOW,4
53996,2019-05-28,49.369998931884766,49.43000030517578,48.099998474121094,48.560001373291016,40.87789535522461,6613000,DOW,1
54026,2019-05-29,48.20000076293945,49.43000030517578,48.0099983215332,48.709999084472656,41.00416946411133,3525900,DOW,2
54056,2019-05-30,48.119998931884766,48.59000015258789,48.02000045776367,48.470001220703125,41.39704132080078,3777600,DOW,3
54086,2019-05-31,47.959999084472656,48.0,46.75,46.7599983215332,39.93656539916992,3396900,DOW,4
54116,2019-06-03,46.849998474121094,47.959999084472656,46.849998474121094,47.959999084472656,40.961456298828125,5905200,DOW,0
54146,2019-06-04,48.68000030517578,49.93000030517578,48.63999938964844,49.93000030517578,42.64399337768555,7043000,DOW,1
54176,2019-06-05,50.4900016784668,50.56999969482422,49.04999923706055,50.34000015258789,42.994163513183594,6413300,DOW,2
54206,2019-06-06,50.279998779296875,51.310001373291016,50.150001525878906,51.060001373291016,43.609100341796875,6228100,DOW,3
54236,2019-06-07,51.130001068115234,51.689998626708984,50.869998931884766,51.29999923706055,43.81407928466797,5391100,DOW,4
54266,2019-06-10,51.720001220703125,52.099998474121094,51.58000183105469,51.619998931884766,44.087379455566406,5434400,DOW,0
54296,2019-06-11,52.0,52.16999816894531,51.560001373291016,52.040000915527344,44.44609069824219,5144300,DOW,1
54326,2019-06-12,52.060001373291016,52.63999938964844,51.68000030517578,52.4900016784668,44.83042907714844,3103900,DOW,2
54356,2019-06-13,52.68000030517578,52.95000076293945,52.040000915527344,52.880001068115234,45.163516998291016,4179800,DOW,3
54386,2019-06-14,52.630001068115234,52.689998626708984,51.0,51.150001525878906,43.68596649169922,3919300,DOW,4
54416,2019-06-17,50.060001373291016,50.33000183105469,49.04999923706055,49.349998474121094,42.148624420166016,5787300,DOW,0
54446,2019-06-18,49.75,50.56999969482422,49.400001525878906,49.61000061035156,42.37069320678711,5014200,DOW,1
54476,2019-06-19,49.95000076293945,50.2400016784668,48.33000183105469,48.5,41.42266082763672,5404000,DOW,2
54506,2019-06-20,49.095001220703125,49.59000015258789,48.619998931884766,48.93000030517578,41.7899169921875,4228300,DOW,3
54536,2019-06-21,48.81999969482422,49.27000045776367,48.310001373291016,48.36000061035156,41.303096771240234,9478500,DOW,4
54566,2019-06-24,48.5099983215332,49.70000076293945,48.31999969482422,49.58000183105469,42.34506607055664,4602300,DOW,0
54596,2019-06-25,49.4900016784668,50.222999572753906,49.04999923706055,49.689998626708984,42.43901824951172,4005200,DOW,1
54626,2019-06-26,49.849998474121094,51.220001220703125,49.810001373291016,50.45000076293945,43.088111877441406,5244400,DOW,2
54656,2019-06-27,50.61000061035156,51.13999938964844,50.53099822998047,50.90999984741211,43.480987548828125,4097200,DOW,3
54686,2019-06-28,51.040000915527344,51.20000076293945,49.08000183105469,49.310001373291016,42.114463806152344,6507400,DOW,4
54716,2019-07-01,50.0,50.20000076293945,49.52000045776367,50.15999984741211,42.840431213378906,4641700,DOW,0
54746,2019-07-02,50.0,50.060001373291016,48.7599983215332,49.400001525878906,42.19133377075195,4725800,DOW,1
54776,2019-07-03,49.459999084472656,49.650001525878906,49.20000076293945,49.33000183105469,42.13154602050781,2479400,DOW,2
54806,2019-07-05,49.0099983215332,49.369998931884766,48.959999084472656,49.310001373291016,42.114463806152344,2529800,DOW,4
54836,2019-07-08,49.34000015258789,49.5,48.3849983215332,48.52000045776367,41.43973922729492,5936000,DOW,0
54866,2019-07-09,48.29999923706055,48.43000030517578,47.5,47.869998931884766,40.88459777832031,4967400,DOW,1
54896,2019-07-10,48.34000015258789,48.41999816894531,47.52000045776367,47.54999923706055,40.61129379272461,3507400,DOW,2
54926,2019-07-11,47.72999954223633,48.060001373291016,47.18000030517578,47.779998779296875,40.8077278137207,4202000,DOW,3
54956,2019-07-12,48.459999084472656,50.040000915527344,48.08000183105469,49.709999084472656,42.45609664916992,4328400,DOW,4
54986,2019-07-15,49.77000045776367,50.95000076293945,49.65999984741211,50.93000030517578,43.49806213378906,4923800,DOW,0
55016,2019-07-16,50.95000076293945,52.64500045776367,50.95000076293945,52.31999969482422,44.68523025512695,6011200,DOW,1
55046,2019-07-17,52.15999984741211,52.29999923706055,51.22999954223633,51.599998474121094,44.07029724121094,4417500,DOW,2
55076,2019-07-18,51.54999923706055,52.04999923706055,51.279998779296875,51.75,44.19841003417969,3620300,DOW,3
55106,2019-07-19,51.77000045776367,51.83000183105469,51.5,51.52000045776367,44.00197219848633,3221500,DOW,4
55136,2019-07-22,51.50400161743164,51.56999969482422,50.599998474121094,50.880001068115234,43.45536804199219,2814900,DOW,0
55166,2019-07-23,51.0,52.900001525878906,50.95000076293945,52.619998931884766,44.94145202636719,4387700,DOW,1
55196,2019-07-24,52.5,52.9900016784668,52.040000915527344,52.790000915527344,45.08665084838867,3516400,DOW,2
55226,2019-07-25,51.63999938964844,51.9900016784668,50.29999923706055,50.77000045776367,43.36141586303711,4254600,DOW,3
55256,2019-07-26,50.27000045776367,50.29999923706055,48.91999816894531,49.11000061035156,41.94365310668945,5066000,DOW,4
55286,2019-07-29,48.52000045776367,48.880001068115234,47.97999954223633,48.04999923706055,41.038326263427734,4219800,DOW,0
55316,2019-07-30,47.779998779296875,48.439998626708984,47.779998779296875,48.400001525878906,41.337257385253906,4194300,DOW,1
55346,2019-07-31,48.4900016784668,49.43000030517578,47.95000076293945,48.439998626708984,41.37141418457031,5188500,DOW,2
55376,2019-08-01,48.150001525878906,48.599998474121094,46.779998779296875,46.849998474121094,40.013431549072266,5803200,DOW,3
55406,2019-08-02,46.689998626708984,47.5,45.369998931884766,45.599998474121094,38.94584274291992,5346400,DOW,4
55436,2019-08-05,45.060001373291016,45.130001068115234,44.06999969482422,44.77000045776367,38.236961364746094,5147300,DOW,0
55466,2019-08-06,45.11000061035156,45.45000076293945,43.73500061035156,44.43000030517578,37.94657897949219,4702800,DOW,1
55496,2019-08-07,44.099998474121094,45.0,43.90999984741211,44.88999938964844,38.33945083618164,4490100,DOW,2
55526,2019-08-08,45.196998596191406,46.81999969482422,45.189998626708984,46.790000915527344,39.96219253540039,4573400,DOW,3
55556,2019-08-09,46.41999816894531,46.9900016784668,46.099998474121094,46.63999938964844,39.83407974243164,4468000,DOW,4
55586,2019-08-12,46.38999938964844,46.79999923706055,45.52000045776367,45.689998626708984,39.022708892822266,4491600,DOW,0
55616,2019-08-13,45.779998779296875,47.7599983215332,45.58000183105469,46.849998474121094,40.013431549072266,5407300,DOW,1
55646,2019-08-14,45.79999923706055,46.150001525878906,44.0,44.08000183105469,37.64765548706055,6178300,DOW,2
55676,2019-08-15,44.34000015258789,44.369998931884766,42.959999084472656,43.380001068115234,37.0497932434082,3494600,DOW,3
55706,2019-08-16,43.290000915527344,44.810001373291016,42.77000045776367,44.5099983215332,38.0149040222168,4586000,DOW,4
55736,2019-08-19,45.36000061035156,45.862998962402344,45.150001525878906,45.599998474121094,38.94584274291992,3615500,DOW,0
55766,2019-08-20,45.25,45.25,43.06999969482422,43.15999984741211,36.861900329589844,5972800,DOW,1
55796,2019-08-21,43.849998474121094,44.2400016784668,43.2400016784668,43.279998779296875,36.96438217163086,4397800,DOW,2
55826,2019-08-22,43.31999969482422,43.900001525878906,42.02000045776367,42.04999923706055,35.91387939453125,6072100,DOW,3
55856,2019-08-23,42.0,42.02000045776367,40.439998626708984,40.709999084472656,34.76941680908203,6696800,DOW,4
55886,2019-08-26,41.27000045776367,41.349998474121094,40.61000061035156,40.81999969482422,34.86336898803711,3402400,DOW,0
55916,2019-08-27,41.189998626708984,41.72999954223633,40.91899871826172,41.16999816894531,35.16228485107422,4152200,DOW,1
55946,2019-08-28,41.150001525878906,42.63999938964844,40.7599983215332,42.52000045776367,36.31528854370117,4539300,DOW,2
55976,2019-08-29,42.33000183105469,43.0,42.209999084472656,42.369998931884766,36.79289245605469,3292500,DOW,3
56006,2019-08-30,42.83000183105469,43.0,42.27000045776367,42.630001068115234,37.0186767578125,4099200,DOW,4
56036,2019-09-03,42.13999938964844,42.22999954223633,41.150001525878906,41.79999923706055,36.29792022705078,3343300,DOW,1
56066,2019-09-04,42.59000015258789,42.790000915527344,41.849998474121094,42.540000915527344,36.940521240234375,2651400,DOW,2
56096,2019-09-05,43.150001525878906,43.970001220703125,43.09000015258789,43.36000061035156,37.652587890625,4041400,DOW,3
56126,2019-09-06,43.540000915527344,43.65999984741211,42.65999984741211,43.2400016784668,37.54838180541992,3217900,DOW,4
56156,2019-09-09,43.529998779296875,44.62699890136719,43.2599983215332,44.45000076293945,38.59910202026367,3848000,DOW,0
56186,2019-09-10,45.099998474121094,46.369998931884766,44.779998779296875,46.31999969482422,40.222957611083984,4704000,DOW,1
56216,2019-09-11,46.52000045776367,47.04999923706055,45.58000183105469,46.880001068115234,40.70925521850586,4445000,DOW,2
56246,2019-09-12,47.06999969482422,47.189998626708984,45.56999969482422,46.970001220703125,40.78740692138672,3649700,DOW,3
56276,2019-09-13,47.63999938964844,48.439998626708984,47.25,48.20000076293945,41.855499267578125,4027600,DOW,4
56306,2019-09-16,48.689998626708984,49.97999954223633,48.279998779296875,49.0099983215332,42.55888366699219,5040600,DOW,0
56336,2019-09-17,48.66999816894531,49.09000015258789,47.61000061035156,48.0,41.68182373046875,3741900,DOW,1
56366,2019-09-18,47.900001525878906,47.900001525878906,47.02000045776367,47.5099983215332,41.25632858276367,2588200,DOW,2
56396,2019-09-19,48.119998931884766,48.40999984741211,47.4900016784668,47.63999938964844,41.36921310424805,2418300,DOW,3
56426,2019-09-20,47.470001220703125,48.849998474121094,47.06999969482422,48.209999084472656,41.86418151855469,10570400,DOW,4
56456,2019-09-23,47.38999938964844,48.21500015258789,47.119998931884766,47.90999984741211,41.603675842285156,3599400,DOW,0
56486,2019-09-24,47.779998779296875,48.0,45.95000076293945,46.599998474121094,40.466102600097656,4515300,DOW,1
56516,2019-09-25,46.54999923706055,47.970001220703125,46.130001068115234,47.68000030517578,41.4039421081543,4396200,DOW,2
56546,2019-09-26,47.5099983215332,47.689998626708984,46.933998107910156,47.22999954223633,41.01318359375,2994200,DOW,3
56576,2019-09-27,47.400001525878906,47.880001068115234,47.0099983215332,47.06999969482422,40.874244689941406,3722300,DOW,4
56606,2019-09-30,47.2599983215332,47.790000915527344,47.11000061035156,47.650001525878906,41.377899169921875,2512200,DOW,0
56636,2019-10-01,47.939998626708984,48.56999969482422,45.900001525878906,45.970001220703125,39.919036865234375,3838400,DOW,1
56666,2019-10-02,44.66999816894531,45.16999816894531,44.36000061035156,44.93000030517578,39.015933990478516,4759500,DOW,2
56696,2019-10-03,44.849998474121094,45.38999938964844,44.369998931884766,45.310001373291016,39.345909118652344,3422400,DOW,3
56726,2019-10-04,45.18000030517578,45.779998779296875,45.0099983215332,45.34000015258789,39.37196350097656,3512300,DOW,4
56756,2019-10-07,45.08000183105469,45.77000045776367,44.76499938964844,45.16999816894531,39.224334716796875,2977900,DOW,0
56786,2019-10-08,44.75,45.04999923706055,43.83000183105469,43.849998474121094,38.07808303833008,2985900,DOW,1
56816,2019-10-09,44.38999938964844,44.540000915527344,44.0,44.0099983215332,38.21702575683594,2844600,DOW,2
56846,2019-10-10,44.33000183105469,45.290000915527344,44.02000045776367,44.91999816894531,39.007240295410156,4325000,DOW,3
56876,2019-10-11,45.75,47.720001220703125,45.50299835205078,47.130001068115234,40.92634582519531,3675700,DOW,4
56906,2019-10-14,46.720001220703125,47.27000045776367,46.2400016784668,46.81999969482422,40.65715026855469,3196500,DOW,0
56936,2019-10-15,46.81999969482422,48.099998474121094,46.529998779296875,47.20000076293945,40.98712921142578,3216800,DOW,1
56966,2019-10-16,47.4900016784668,47.91999816894531,47.0099983215332,47.119998931884766,40.917659759521484,3626900,DOW,2
56996,2019-10-17,47.439998626708984,48.540000915527344,47.13999938964844,47.810001373291016,41.516845703125,2724400,DOW,3
57026,2019-10-18,47.90999984741211,48.191001892089844,47.36000061035156,47.959999084472656,41.64708709716797,2757600,DOW,4
57056,2019-10-21,48.59000015258789,48.970001220703125,47.09000015258789,47.119998931884766,40.917659759521484,3967000,DOW,0
57086,2019-10-22,47.08000183105469,47.38399887084961,46.02000045776367,46.81999969482422,40.65715026855469,4645400,DOW,1
57116,2019-10-23,46.779998779296875,47.5099983215332,46.54999923706055,47.22999954223633,41.01318359375,4152000,DOW,2
57146,2019-10-24,48.650001525878906,49.9900016784668,47.84000015258789,49.470001220703125,42.958335876464844,6098900,DOW,3
57176,2019-10-25,49.779998779296875,50.7599983215332,48.900001525878906,50.47999954223633,43.83538818359375,5361100,DOW,4
57206,2019-10-28,50.75,51.439998626708984,50.43000030517578,51.209999084472656,44.469295501708984,4504100,DOW,0
57236,2019-10-29,50.959999084472656,51.630001068115234,50.369998931884766,51.4900016784668,44.71244430541992,3462100,DOW,1
57266,2019-10-30,51.20000076293945,51.470001220703125,50.33000183105469,51.029998779296875,44.31298828125,3602100,DOW,2
57296,2019-10-31,50.880001068115234,51.029998779296875,49.709999084472656,50.4900016784668,43.84407424926758,3744000,DOW,3
57326,2019-11-01,50.97999954223633,52.4900016784668,50.900001525878906,52.310001373291016,45.424503326416016,3207100,DOW,4
57356,2019-11-04,52.650001525878906,54.40999984741211,52.459999084472656,54.16999816894531,47.039676666259766,5430200,DOW,0
57386,2019-11-05,54.0099983215332,55.0,53.650001525878906,54.20000076293945,47.065731048583984,6044500,DOW,1
57416,2019-11-06,54.15999984741211,54.7400016784668,53.810001373291016,54.279998779296875,47.135196685791016,3847000,DOW,2
57446,2019-11-07,54.939998626708984,55.939998626708984,54.41999816894531,55.79999923706055,48.45512771606445,5974300,DOW,3
57476,2019-11-08,55.5,55.9900016784668,55.02000045776367,55.9900016784668,48.620113372802734,4812000,DOW,4
57506,2019-11-11,55.54999923706055,56.25,55.220001220703125,55.810001373291016,48.463809967041016,3184900,DOW,0
57536,2019-11-12,56.0,56.11000061035156,54.529998779296875,55.15999984741211,47.89937210083008,2742700,DOW,1
57566,2019-11-13,54.189998626708984,54.47999954223633,53.459999084472656,53.65999984741211,46.59680938720703,3426000,DOW,2
57596,2019-11-14,53.29999923706055,54.13999938964844,53.150001525878906,53.95000076293945,46.848636627197266,2595500,DOW,3
57626,2019-11-15,54.27000045776367,55.290000915527344,54.13999938964844,54.86000061035156,47.638858795166016,3865000,DOW,4
57656,2019-11-18,54.75,54.90999984741211,54.119998931884766,54.31999969482422,47.16992950439453,3439900,DOW,0
57686,2019-11-19,54.810001373291016,54.810001373291016,52.790000915527344,53.38999938964844,46.36234664916992,5208300,DOW,1
57716,2019-11-20,53.13999938964844,53.45000076293945,52.099998474121094,52.66999816894531,45.73711395263672,5394100,DOW,2
57746,2019-11-21,52.709999084472656,53.91999816894531,52.349998474121094,53.880001068115234,46.7878532409668,4618400,DOW,3
57776,2019-11-22,53.97999954223633,54.65999984741211,53.599998474121094,54.20000076293945,47.065731048583984,3115600,DOW,4
57806,2019-11-25,54.81999969482422,55.22999954223633,54.36000061035156,55.20000076293945,47.93410110473633,5073700,DOW,0
57836,2019-11-26,55.25,55.75,54.81999969482422,55.369998931884766,48.08172607421875,4643800,DOW,1
